264,"Stob Choire Claurigh",353683,"Stob Choire Claurigh",56.8225,-4.8423,1177.0,468
265,"Stob Coir' an Albannaich",353685,"Stob Coir' An Albannaich",56.5546,-4.9811,1044.0,86.7
266,"Stob Coire a'Chairn",353686,"Stob Coire A' Chairn",56.7516,-4.9681,981.0,110.6
267,"Stob Coire an Laoigh",353687,"Stob Coire An Laoigh",56.8096,-4.8801,1115.0,324.4
268,"Stob Coire Easain",353688,"Stob Coire Easain",56.8168,-4.773,1116.0,160.5
269,"Stob Coire Sgreamhach",353689,"Stob Coire Sgreamhach",56.6379,-5.0105,1072.0,48.7
270,"Stob Coire Sgriodain",353690,"Stob Coire Sgriodain",56.8294,-4.692,976.0,314.6
271,"Stob Daimh (Stob Diamh)",353692,"Stob Diamh",56.4291,-5.0935,998.0,281.6
272,"Stob Ghabhar",353694,"Stob Ghabhar",56.5651,-4.8767,1087.0,470
273,"Stob Poite Coire Ardair",353696,"Stob Poite Coire Ardair",56.9644,-4.5841,1053.0,107.6
274,"Stuc a'Chroin",353754,"Stuc A' Chroin",56.3332,-4.2337,972.0,492.4
275,"Stuchd an Lochain (Stuc an Lochain)",353755,"Stuchd An Lochain",56.5688,-4.4714,960.0,239.1
276,"The Cairnwell",3072,"Cairnwell",56.879,-3.42,933.0,91.7
277,"The Devil's Point",353855,"The Devil's Point",57.0362,-3.69,1004.0,90.2
278,"The Saddle",353870,"The Saddle",57.1601,-5.4139,1010.0,259.9
279,"Toll Creagach",353931,"Toll Creagach",57.3062,-5.0015,1054.0,349.2
280,"Tolmount",353933,"Tolmount",56.906,-3.296,958.0,183.9
281,"Tom a'Choinich",353934,"Tom A' Choinich",57.2983,-5.0492,1111.0,140.2
282,"Tom Buidhe",353935,"Tom Buidhe",56.8932,-3.2899,957.0,156.1
